timestamp(ms),temp,Power,Schlupf %,Force,
"1767109211.446","199.81","20.08","0.24","23.129",
"1767109211.545",,,"0.25",,
"1767109211.546","200.18","0",,"23.238",
"1767109211.646","200.69","0","0.26","23.238",
"1767109211.746","200.12","0","0.27","23.298",
"1767109211.845",,,"0.28",,
"1767109211.846","200.39","0",,"23.298",
"1767109211.946","200.28","0","0.28","23.332",
"1767109212.046","200.4","0","0.29","23.332",
"1767109212.146","199.53","20.08","0.26","23.434",
"1767109212.246","199.93","20.08","0.27","23.434",
"1767109212.345","199.74","20.08","0.28","23.585",
"1767109212.446","199.92","20.08","0.28","23.585",
"1767109212.545",,,"0.29",,
"1767109212.546","200.05","0",,"23.645",
"1767109212.645",,,"0.26",,
"1767109212.646","199.1","20.08",,"23.645",
"1767109212.746","199.62","20.08","0.27","23.73",
"1767109212.845","199.36","20.08","0.28","23.73",
"1767109212.945",,,"0.28",,
"1767109212.946","200.32","0",,"23.814",
"1767109213.045","199.36","20.08","0.29","23.814",
"1767109213.145",,,"0.3",,
"1767109213.146","198.57","20.08",,"23.972",
"1767109213.245",,,"0.27","23.972",
"1767109213.246","198.69","20.08",,,
"1767109213.346","198.76","20.08","0.28","24.026",
"1767109213.446","199.08","20.08","0.28","24.026",
"1767109213.546","198.91","20.08","0.29","24.1",
"1767109213.645",,,"0.3","24.1",
"1767109213.646","198.77","20.08",,,
"1767109213.746","198.35","20.08","0.27","24.227",
"1767109213.846","198.32","20.08","0.28","24.227",
"1767109213.946","198.24","20.08","0.28","24.428",
"1767109214.045","198.26","20.08","0.29","24.428",
"1767109214.145",,,"0.3",,
"1767109214.146","197.78","20.08",,"24.622",
"1767109214.245",,,"0.27",,
"1767109214.246","197.95","20.08",,"24.622",
"1767109214.345",,,"0.28",,
"1767109214.346","197.93","20.08",,"24.72",
"1767109214.446","197.08","20.08","0.28","24.72",
"1767109214.546","198.25","20.08","0.29","24.838",
"1767109214.646","197.9","20.08","0.3","24.838",
"1767109214.746","198.61","20.08","0.27","24.887",
"1767109214.845",,,"0.28",,
"1767109214.846","197.53","20.08",,"24.887",
