timestamp(ms),temp,Schlupf %,Force,
"1767109809.74","198.05","1.04","25.977",
"1767109809.839","197.93","1.05","25.977",
"1767109809.939",,,"26.021",
"1767109809.94","198.22","1.06",,
"1767109810.039",,,"26.021",
"1767109810.04","198.08","1.07",,
"1767109810.139",,,"26.054",
"1767109810.14","197.97","1.07",,
"1767109810.239","197.95","1.04","26.054",
"1767109810.339","198.12","1.04","26.087",
"1767109810.439",,"1.05","26.087",
"1767109810.44","197.39",,,
"1767109810.539","197.36","1.06","26.115",
"1767109810.64","197.59","1.07","26.115",
"1767109810.739",,,"26.176",
"1767109810.74","197.52","1.07",,
"1767109810.839",,,"26.176",
"1767109810.84","197.44","1.08",,
"1767109810.939","197.01","1.05","26.207",
"1767109811.039","196.97","1.05","26.207",
"1767109811.139","196.97","1.06","26.263",
"1767109811.239","197.96","1.07","26.263",
"1767109811.339","196.95","1.08","26.339",
"1767109811.439","197.12","1.08","26.339",
"1767109811.539","196.75","1.05","26.341",
"1767109811.64","196.66","1.06","26.341",
"1767109811.739","196.74","1.06","26.422",
"1767109811.84","196.89","1.07","26.422",
"1767109811.939","196.95","1.08","26.59",
"1767109812.04","196.84","1.08","26.59",
"1767109812.139","196.13","1.05","26.673",
"1767109812.239","196.5","1.06","26.673",
"1767109812.339","196.13","1.06","26.8",
"1767109812.439",,,"26.8",
"1767109812.44","196.74","1.07",,
"1767109812.539","196.46","1.08","26.801",
"1767109812.64",,,"26.801",
"1767109812.641","196.39","1.05",,
"1767109812.739","195.42","1.05","26.877",
"1767109812.84","196.57","1.06","26.877",
"1767109812.94","196.68","1.07","26.791",
"1767109813.039","196.66","1.07","26.791",
"1767109813.139","196.67","1.08","26.762",
"1767109813.239","196.16","1.05","26.762",
"1767109813.339",,"1.05","26.754",
"1767109813.34","195.57",,,
"1767109813.44","196.7","1.06","26.754",
"1767109813.54","197.36","1.07","26.781",
"1767109813.64",,,"26.781",
"1767109813.641","196.7","1.07",,
"1767109813.74","196.55","1.04","26.791",
"1767109813.839","196.16","1.05","26.791",
"1767109813.94","196.43","1.06","26.768",
"1767109814.039",,,"26.768",
"1767109814.04","196.45","1.06",,
"1767109814.139","196.76","1.07","26.768",
"1767109814.239","196.74","1.08","26.768",
"1767109814.339","197.01","1.08","26.753",
"1767109814.439","196.54","1.05","26.753",
"1767109814.539","196.29","1.06","26.751",
"1767109814.64","196.6","1.06","26.751",
"1767109814.739","196.62","1.07","26.735",
"1767109814.839","196.9","1.08","26.735",
"1767109814.939","196.96","1.08","26.712",
"1767109815.039","197.07","1.09","26.712",
