timestamp(ms),temp,Schlupf %,Force,
"1767109642.443","196.39","5.67","58.759",
"1767109642.543","196.47","5.67","58.759",
"1767109642.643","195.93","5.68","48.359",
"1767109642.743","197.56","5.77","48.359",
"1767109642.843","196.53","5.78","48.942",
"1767109642.944","196.75","5.87","48.942",
"1767109643.043","196.68","5.69","60.629",
"1767109643.143","196.73","5.69","60.629",
"1767109643.243","196.84","5.69","55.507",
"1767109643.343","197.22","5.7","55.507",
"1767109643.443","196.91","5.7","47.322",
"1767109643.543","196.91","5.7","47.322",
"1767109643.643","197.07","5.71","48.495",
"1767109643.743","198.08","5.8","48.495",
"1767109643.843","197.61","5.63","59.753",
"1767109643.944","197.61","5.63","59.753",
"1767109644.043","197.77","5.63","56.657",
"1767109644.143","197.77","5.64","56.657",
"1767109644.243","197.87","5.64","46.55",
"1767109644.343","198.17","5.64","46.55",
"1767109644.443","198.21","5.64","47.309",
"1767109644.543","197.78","5.65","47.309",
"1767109644.643","197.46","5.39","60.865",
"1767109644.743","197.88","5.4","60.865",
"1767109644.843","198.22","5.4","58.741",
"1767109644.944","198.09","5.4","58.741",
"1767109645.043","198.34","5.41","46.691",
"1767109645.143","198.27","5.41","46.691",
"1767109645.243","198.69","5.42","46.853",
"1767109645.343",,,"46.853",
"1767109645.344","198.28","5.42",,
"1767109645.443","198.61","5.43","55.166",
"1767109645.543","198.47","5.51","55.166",
"1767109645.643","198.58","5.35","64.74",
"1767109645.743","198.67","5.35","64.74",
"1767109645.843","198.7","5.36","57.954",
"1767109645.944","198.89","5.36","57.954",
"1767109646.043","198.88","5.37","45.941",
"1767109646.143","199.01","5.37","45.941",
"1767109646.243","199.05","5.38","47.267",
"1767109646.343","199.21","5.38","47.267",
"1767109646.443","199.59","5.47","56.756",
"1767109646.543",,,"56.756",
"1767109646.544","199.65","5.47",,
"1767109646.643","199.42","5.47","65.332",
"1767109646.743","199.51","5.16","65.332",
"1767109646.843",,,"69.285",
"1767109646.844","199.84","5.24",,
"1767109646.944",,,"69.285",
"1767109646.945","199.66","5.17",,
"1767109647.043","199.74","5.18","52.791",
"1767109647.143","199.82","5.18","52.791",
"1767109647.244","199.97","5.19","45.735",
"1767109647.343",,,"45.735",
"1767109647.344","200.1","5.19",,
"1767109647.443",,,"46.062",
"1767109647.444","200.05","5.19",,
"1767109647.544","199.8","5.2","46.062",
"1767109647.643","199.49","5.28","61.752",
"1767109647.743","200.27","5.06","61.752",
"1767109647.844","200.33","5.06","65.12",
"1767109647.944","199.96","5.07","65.12",
"1767109648.043",,,"48.876",
"1767109648.044","200.52","5.07",,
"1767109648.143","200.8","5.08","48.876",
"1767109648.243",,,"44.975",
"1767109648.244","200.83","5.08",,
"1767109648.343","200.92","5.09","44.975",
"1767109648.443",,,"50.691",
"1767109648.444","201","5.09",,
"1767109648.543","201.11","5.1","50.691",
"1767109648.643","201.45","5.1","60.84",
"1767109648.743","200.49","5.11","60.84",
"1767109648.843","201.3","5.11","56.351",
"1767109648.944","201.97","5.12","56.351",
"1767109649.043",,,"50.204",
"1767109649.044","201.7","5.12",,
"1767109649.143","202.97","5.2","50.204",
"1767109649.243","202.64","5.2","53.842",
"1767109649.344","202.83","5.28","53.842",
"1767109649.443","202.52","5.28","61.005",
"1767109649.543",,,"61.005",
"1767109649.544","202.84","5.36",,
"1767109649.643","203","5.36","63.659",
"1767109649.743",,"5.36","63.659",
"1767109649.744","203.05",,,
"1767109649.843","202.77","5.37","57.816",
"1767109649.944","203.11","5.37","57.816",
"1767109650.043","203.26","5.37","53.266",
"1767109650.143",,,"53.266",
"1767109650.144","202.94","5.38",,
"1767109650.243",,,"56.308",
"1767109650.244","203.01","5.45",,
"1767109650.344","203.07","5.25","56.308",
"1767109650.443","203.23","5.25","63.36",
"1767109650.544","203.59","5.26","63.36",
"1767109650.643","203.81","5.26","44.707",
"1767109650.743","203.51","5.26","44.707",
"1767109650.843","203.88","5.27","42.515",
"1767109650.944","203.8","5.27","42.515",
"1767109651.043",,"5.27","48.635",
"1767109651.044","203.54",,,
"1767109651.143",,,"48.635",
"1767109651.144","203.99","5.34",,
"1767109651.243","203.93","5.48","61.083",
"1767109651.343",,,"61.083",
"1767109651.344","203.4","5.48",,
"1767109651.443","203.18","5.49","64.745",
"1767109651.544","203.41","5.49","64.745",
"1767109651.643",,,"55.136",
"1767109651.644","203.64","5.49",,
"1767109651.743",,"5.5","55.136",
"1767109651.744","203.7",,,
"1767109651.844","203.79","5.5","48.723",
"1767109651.944",,"5.5","48.723",
"1767109651.945","203.4",,,
"1767109652.043","204.12","5.57","53.742",
"1767109652.143","203.63","5.57","53.742",
"1767109652.243","204.05","5.45","63.513",
"1767109652.343","204.09","5.45","63.513",
"1767109652.444","203.54","5.39","55.165",
"1767109652.543",,,"55.165",
"1767109652.544","203.66","5.39",,
"1767109652.644","203.59","5.4","44.85",
"1767109652.743","203.7","5.4","44.85",
"1767109652.843",,,"45.459",
"1767109652.844","203.68","5.4",,
"1767109652.944","203.48","5.4","45.459",
"1767109653.043",,,"54.32",
"1767109653.044","203.31","5.41",,
"1767109653.144","203.9","5.47","54.32",
"1767109653.243",,,"63.174",
"1767109653.244","203.33","5.48",,
"1767109653.343","203.66","5.54","63.174",
"1767109653.444","203.59","5.54","65.315",
"1767109653.543","203.6","5.55","65.315",
"1767109653.643","203.65","5.55","55.638",
"1767109653.743",,,"55.638",
"1767109653.744","203.55","5.55",,
"1767109653.843","203.51","5.55","50.846",
"1767109653.944","203.13","5.56","50.846",
"1767109654.043","203.37","5.62","54.109",
"1767109654.143","202.41","5.38","54.109",
"1767109654.243",,,"59.137",
"1767109654.244","202.82","5.38",,
"1767109654.343","202.86","5.39","59.137",
"1767109654.443","202.91","5.39","45.836",
"1767109654.543","202.83","5.39","45.836",
"1767109654.643","203.54","5.4","42.539",
"1767109654.743","202.64","5.4","42.539",
"1767109654.843","202.52","5.4","46.605",
"1767109654.944","201.52","5.46","46.605",
"1767109655.043","202.8","5.47","59.559",
"1767109655.144","202.81","5.41","59.559",
"1767109655.243","202.23","5.41","56.653",
"1767109655.343","202.36","5.42","56.653",
"1767109655.443","201.79","5.42","49.414",
"1767109655.543","201.83","5.42","49.414",
"1767109655.643","202.36","5.48","49.254",
"1767109655.743","201.3","5.43","49.254",
"1767109655.843","201.49","5.43","61.833",
"1767109655.944","201.03","5.43","61.833",
"1767109656.043","201.09","5.44","52.426",
"1767109656.143","201.05","5.44","52.426",
"1767109656.243","200.71","5.44","47.818",
"1767109656.343",,,"47.818",
"1767109656.344","200.91","5.44",,
"1767109656.443","201.47","5.5","52.157",
"1767109656.543","200.74","5.39","52.157",
"1767109656.643",,,"65.49",
"1767109656.644","200.97","5.45",,
"1767109656.744","200.82","5.45","65.49",
"1767109656.844","200.12","5.46","50.088",
"1767109656.945","200.59","5.41","50.088",
"1767109657.044","200.45","5.41","45.154",
"1767109657.144","200.42","5.47","45.154",
"1767109657.243",,,"49.633",
"1767109657.244","200.47","5.47",,
"1767109657.344","200.76","5.47","49.633",
